Kata Dasar,Jenis Kata,Artinya,Contoh  Kalimat,Arti kalimat
babaabu,,mempelai,,
balongka/ontimun,,timun,,
bokol/bokolon,,ombak/gelombang,,
bokilan,,jenis burung,,
bana,,paha,,
banang,,benang,,
bolowa,,panu,,
bulusan,,panjang,,
bone,,pasir,,
bubung,,sumur,,
biol,,pindah,,
biniol,,dipindahkan,,
